tweet,Content
?? ?? ?? ?? ?? ??? ?? ?????? ???? ?? ??? ?? ???? ?????? ?? ???? ???? ?? ????? ?????? URL,NONE
someone making point on you ????,NONE
???? ???? ?? ???? ?? ?????? ????? ?????,NONE
???? ?? ???? ?? ???????? ???? ?? ??,NONE
Lagata hai isane Sirf zasaram se hi Vaccine ka tika lagwana hai ??,NONE
?? ??,NONE
??? ??? ????????..?????????? ?? ????? ?? ???,NONE
???? ??? ?? ??? ??? ?? ??? ??? ??,NONE
???? ????? ???? ?? ??? ??? ??? ?? ????,NONE
Isne gufa mai azmaya  hai uska bholapan,NONE
Etna bolne ka ketna mila. 2 rup,HOF
Ghufa me Jane ka purana experience hai madam ka,NONE
??????,NONE
???? ??????? ?? ??? ? ?? ?? ???? ??????,NONE
??????,NONE
??? ?? ??? ???? ???? ????,NONE
Ye reh nhi pa rahi hogi ab,NONE
???? ??????? ????,NONE
?? ?? ????? ???? ??? ?? ???? ?????? ?? ?????? ??? ?? ??,NONE
????? ?????? ????? ?? ??,NONE
Jab padhe likhe log Esi murakhtapurn baate karate h. To bara dukh hota h ki us  laraki ki puri kahani Enhone sayad padhi nhi jo pirit Thi.,NONE
Aakhir me apni aukat dikha hi di,HOF
???? ?????? ?? ??? ?? ???? ???? ???,NONE
Why you pramot her ???,NONE
?? ?????????? ?? ?????? ?? ??? ??? ???? ??????,HOF
Asharam bapu ne ise bhi pel diya hoga sayad??????,HOF
?? ?? ?????? ?? ???? ?? ??? ?? ???? ??? ????. ???? ???.,HOF
???? ????,HOF
isko milna hoga unse ????,NONE
??? ???? ?????? ?????? ?? ...,HOF
???? ????? ???? ?? ??? ???? ??????,NONE
???? ?? ??? ????? ?? ??????,HOF
"But, if, fake, hindu, case, bail, bapu. 

Listen sarkaar",NONE
Lagta he isse #asha_ka_ashirwad mila hua he???,HOF
Thoo,HOF
"??? ??? ???? ??? ??? ?? ??, 
?????? ?? ???? ?? ??, ??? ?? ???? ???? ??? ?? ??? ?? ???????? ?? ??? ?????? ????, 
???? 
???? ????? ????? ?????? ?????? ???? ??,  ??",HOF
"30 ???? ?????? ?? ??? ??? ??? ?? ???? ??? ??? ?????? ???,
?? ?????? ?? ????? ?? ??? ??? ???? ?? ???",NONE
Pata karo iska breakup to nahi ho gaya hai,NONE
Aise waste logon ko kyun aap log highlight karke promote karte ho....yeh hai... Kangana hai....aur aise fringe items sab....,HOF
Iss ka dil nahi lagta Asaram k bine.,NONE
Inko akele mein sayad bulaya nhi hai .,NONE
Bail ab aur nahi milegi!,NONE
Innocent guru,HOF
Ha ha ha.......... Bewaqoof,HOF
??????,NONE
Ye bhi gufa ki paidais h kya pta adharam he inke bapu ho??,HOF
?? ?????? ???? ?????? ??,HOF
"??? ?????? ??? ?? ???? ??!

???? ?? ?? &amp;??? ?? ??????????? ???!  ???? ??? ??????? ??!????",HOF
Pagal,NONE
Lagata h in ko aasaram ki bahut zarurat h unke bina ab din nahi kat rahe inke,HOF
??????????,NONE
?? ?? ?????? ?? ?????? ?? ???????? ????,NONE
????? ?? ??? ???? ??? ?? ?????? ?????? ???????????????,NONE
??? ?? ????? ?? ??? ?????? ???,NONE
Inehe bhi andar kar do unke saath matter solved,NONE
?????? ??? ??? ????,HOF
???? ?? ?????? ?? ???? ?? ???? ????? ?? ? ?? ????? ?? ??? ?? ????? ?? ?,HOF
"""To do something..."" Bade hi swag se Kaha tha. ??????",NONE
Gufa wali hai ye bhi,NONE
??? ?? ???????? ?? ???? ?? ???????,NONE
"She is an agent of Asa Ram.
Shamelessly defending him.",NONE
Baapu bulare hai aap ko vhaa ????????,NONE
Isko baba ji purani yad aa rahi hai ..??,NONE
?? ??? ??? ???? ????? ??? ??? ????? ?? ?? ???? ?? ?????? ????? ?? ???? ?? ???? ?? ??? ???? ????????????,HOF
??? ???? ???? ???? ?? ??? ??? ?? ?????????,NONE
Mam ko ashirwad jo lena h??????,NONE
iski  lagta h li h asharam ne,HOF
"??? ??? ????
??? ??? ?????",HOF
???? ?? ??? ??? ??? ??? ???? ????? ??,HOF
?? ???? ??? ???? ?????? ?? ?,NONE
another virus mutant,HOF
80 times 80,NONE
Bahut bhole hai baba sonch ke gufa mat chale jana,NONE
Isko wahi bhej do????,NONE
Lgta hai  aasaram ki Fan hai ye,NONE
????????? ? ???? ????,NONE
???????? ???? ?? ???? ???? ??? ????,NONE
Vhi bej do isse,HOF
???? gufa Mein bheja jaye ??????,NONE
?? ?? ???? ??? ???? ??.,NONE
right,NONE
???? ????? ?? ??? ??? ?? ?? ??? ??? ??? ??,NONE
????,NONE
"?? ?? ???? ?? ? ?????? ?? ?? ??? ??????? ?? ??? ?????? ?? ?????? ????? ?? ?? ??? ???.. 
??? ?? ??? ?? ??? ?? ???? ?? ????? ????? ??? ?? ????????? ??? ??..",NONE
???? ?? ?? ?? ?? ? ??? ??? ?? ??????,HOF
?? ?? ????? ??? ???? ?? ???????? ???? ????,HOF
I think ???? ???? ?? ??? ???? ?? ??? ???? ??????? ?? ??? ????? ??,HOF
Hey  have you listened this. ????,NONE
"?????? ????? ?? ????? ?? ????? ???? ???? ????
???? ???? ?? ???? ? ??? ???? ?? ??????? ?? ??? ??? ??? ???",HOF
Rationality is against the country... URL,NONE
First Comment,NONE
?? ????? ?? ?????? ?? ???? ??????? ??????????? ?? ???? ??? ???? ????? ? ???? ?????? ??? ?? ???? ?? URL,NONE
So cute Modi ji ???? phir ye  shaitaani dimag kyu rkhe hai ??,NONE
"?? ?? ???? ?? ?????? ??? ?????
????? ??????? ?? ???? ???????????? ?????",HOF
Burger king me kya milta hai ? Wrong answers only ??,NONE
The 'Gujarat Model',NONE
Bhakts applying Kamra on the body.,HOF
Bhakts be like .. Gobar Party !! ??,HOF
"?????? ??????? ?? ????? ??? 
???? ????? ???? ??? ???, 
?????? “??????’ ???? ??? ??? 
?????????..???",NONE
Mein ek Balti sponsor karta hu tu bhi try karliyo??????????,HOF
"Gujrat model              actual Gujrat model
They show us URL",NONE
?????? .. Flat screen,HOF
"????? ?? ????? ???? ?? BJP ???? ?? ??? ?????? ?? ???? ?? serious ??? ???? ??? ?? ?? liquid oxygen ?? ??? ?? ?????  ?? vaccine ?? ??? ???? ??? ????...

#StayHomeStaySafe",HOF
??????,NONE
Waah Modi ji waah ????,NONE
"Bhakton mooh chupao sharm se?????? 
Baklol sab????
 #IndiaWithPalestine #BharatWithIsrael_Irfan URL",HOF
3yr old stand. Diplomatic advocacy changes very rapidly,NONE
Abdul 5 puncture ka kitna loge ??,HOF
I think india should stand with palestine in matter of development but india need to learn from Israel how to counter terrorism.,NONE
The Indians supporting Israel on twitter for Israel they're just celebrating the deaths of muslims in Palestine. They have no knowledge no idea about the history they just stand with whoever is against Islam,NONE
Kya ye such hai?,NONE
"Modi ji ke joke pe khush ho rha hai sulla... ?? ?? ?? ??
Khush reh beta ?? ?? ??",HOF
"Abey Jihadi khudka munh chhupa, saale pehle quran se bahar duniya ko aa thoda.. duniya bahot age nikalgyi",HOF
Yeh kya bol raha hai.ab Israel  se bhi relation bigade ga,NONE
"ab support ktr de tab bhi dard hota
na kre to modi to vaise hi badnam hai kaum me",NONE
Tere Palestine ki maa chud rhee hai bsdk????,HOF
Jaise halala ke baad mulle chupate hain,HOF
Wah chamcho wah..,HOF
You idiot.. in journey of development not in terrorism..,HOF
"COVID-19 vaccination story covered by :

The Guardian.                Daily Guardian URL",NONE
???????????????????????? URL,NONE
Is he from RSS minority cell??? URL,NONE
Bhkts to moiiii g URL,NONE
????????,NONE
"????????
Kya chutiya log hai yeh log",HOF
????? ?? ??????? ???? ????,NONE
Let them enjoy.,NONE
Anti- Rational,NONE
???????? URL,NONE
Ye toh kacchadhari sanghwale lag rhe hai.,HOF
Ha bhai wahi he.. Madarsachaap walo ka chutiyapa alag hi hota he,HOF
Now Who did this ?????? URL,NONE
??????????,NONE
"Someone tell them they need to eat it, not apply it",NONE
Kitna kachra kar k rakhkha hai ghar mein B&amp; D ne,NONE
??????,NONE
B and D URL,NONE
Ya ek baat samajh nhi aaati hai ye log itne highly qualified ho ne k saath saath itne achche hunar k maalik bhi hain sb kuchh hai lekin phir bhi Mehnat ki nhi haram ki khaate hain!!! Sach k saath khade nhi hote logo ki aankho pr prda daalte hain!! #GodblessIndia,NONE
You are Marasi and bhand only .History cheater and most cunning man in history.Stabbed who so ever helped URL simply jobless joker,HOF
"Do u agree with this?? 

If yes then do like.? URL",NONE
101%??,NONE
