tweet,Content
"Taliban &amp; Indian Kitchen: A Thread...

One of India’s key imports from Afghanistan is hing (asafoetida), a spice introduced to India by the Mughals in the 16th century &amp; flavours everything from sambar to pakoras.
(Read my full story “The Kabul Question” in ET today) 
(1...)",NOT
"total export to Afghanistan stood at $825 mn in 2020-21, registering a 63% rise in five years. Even imports to India, at $509 million in 2020-21, were 74% higher than that in 2016-17. 
(2...)",NOT
"the top export items from India include refined sugar, garments, medicine, synthetic fibres et al, key imports include figs, raisins, apricots and, most importantly, hing (asafoetida).
(3...)",NOT
This shows that you are colonized mind .hing is mentioned Manasollasa  sanskrit text,NOT
"Heeng. Or Hing ( Asafoetida) of Afghanistan was introduced to India by Mughals ?? ????

Where did they bring it from ? Because present day Afghanistan was always part of Bharat Varsha even before the Mughals descended on it",NOT
Don't you know everything in India was introduced by the Mughals ? It was a wasteland before that,NOT
"He is trying to give that touch of hing, by adding moghuls introduced hing to india. Economic topic  given touch of hing by bringing moghuls between.",HOF
"This play, written 1300 years before #Babur. 

#Mrichhakatika #Hingu URL",NOT
This play was from Afghanistan. Everyone in the world was speaking Sanskritam back then.  Get your facts right,HOF
"Is hing grown in India?
Many ppl in India are originally from Persia/Afg/Kashmir. Came in different waves. 

In the south, hing is used in rasam &amp; Sambhar. Does that mean the users of this commodity were originally from Afg? Or could it be that they discoverd it an imported it?",NOT
"Hing in Ayurveda.
No. Mughals didn't bring it. It was used long before them. 
Accept reality. Mughals, Sultans brought only destruction. 
URL",NOT
"It was gandhara
Long before even Afghanistan",NOT
"In sanskrit it's ""hingu""; from Afghanistan it's ""hing""....see Mughals introduced it!!!!",NOT
The idea that a country should be indebted to another because of trade is ridiculous.,NOT
"That aashole has studied in JNU, leave him",NOT
Ghurrr ghurrr k pad lo bhai ????,NOT
And irony is that he is masters in History. It shows how pathetic our education system is which teaches you that Indian history starts from Mughals and before that Indians were homo-sapiens hunting animals .,NOT
"In case the pea brained journo didn't get it, this play predates the birth of the evil cult.",NOT
Sir Afghanistan was part of Bharat and Hindu as well and hing has been part of our food long before mughals. It is known by different names in different Indian languages. Later imports tend to have similar names across languages.,NOT
"Still calling him ""Sir""?",NOT
"Sadly he had been to numerous madarsaa while his schooling days....

He will speak only what he is taught.",NOT
Very interesting read AUTHOR,HOF
?????????? ???? ?????? ????,NOT
????,NOT
"Was that a Joke?

Hing has been used &amp; even quoted in scriptures much before Ibrahim Lodi built a wall with 1 lakh heads at Dilli.

Pl, get some perspective..

We can understand your need to put tweets under deadline, but this much laxity",NOT
