tweet,Content
You have ugly mind and Botox and kilos of foundation and makeup will not hide your inherent ugliness and grotesqueness. Caste is your bone. How can you be such an obtuse. #ArrestMunmunDu,HOF
??????? ???? ???? ??? ???? ???? ?? ?? ???? ????? ????????,NONE
 Roz ?? ki aulBrahmins ko aur dusron ko gdeta hai tab tum sab kya gutt€® ki ?? chaat rUSER€ hote ho B K L'on ??,HOF
"#ArrestMunmunDutta
#ArrestMunmunDutta
#ArrestMunmunDutta",HOF
 Haan Betikhod.. aise tweet karne se ho jayegi na woh arrest.. itna hi dimaag hai tum logo me..??,HOF
"No apologise,she must be booked under atrocities act
#ArrestMunmunDutta",HOF
Bhangi/balmiki community is present mainly in north and south India. It's not present in east and north east. So might be it was unknwn to her. ?? URL,NONE
" She used it in perfect context, stupid excuse, she didn’t know the meaning, How tf you use word in correct context and don’t know it’s a derogatory remark.",HOF
Aa gya rone ke liye,NONE
 Ye kevl vhi rota h jha pe iska agenda kam krta h....,HOF
And what if she hasn't been aware if it. You fuckin body shaming her now.,HOF
" Exactly

Sab ko sab languages k word nahi pata hote yaar

Unhone publically sorry bhi bola

Kya , aap k sanskar ""maafi"" dena nahi sikhate?",NONE
" If she used women card like this sc st card.. Women card will beat them 
After all both cards on table ????",NONE
 Jaisi Soch Waisi Vaani. These are the real problem creators of our society. Intellectual baat Nahi Kar sakte toh chalo body shame Karke Kuch c*utiyo k likes le leta hu,HOF
Aise toh bengalis ko bangali bola jata hai. which is a caste. So arrest karwa De sc/st me?! Just bcoz ppl dont knw it. URL,NONE
" Exactly now she apologizedand realized that she did mistake even though these people just can't get over this

 Seems like people are spending their lockdown in this stuffs.",NONE
 Bhai gadho ka koi ilaaz nhi hai ??,HOF
 Well said,NONE
"Mana uski galti thi, Maafi maang li na usne. Galti insan se he hoti hai  Aur wo bol rhi ki sbki respect krti hai. Is ko itna kya hype krna. Sbko apna dil bda krna hoga",NONE
 Haa na ussne sorry bhi bola Modi ne sorry nai bola ??,HOF
"???? ?? ??? ???? ???.... ""????"" ????  ??? ???? ?? ?????? ?? ???? ????? ????? ?? ???? ????? ????? ??????? ?? ?? ???? ??? ??????? ?? ?????? ???? ?????? ?? ??? ????? ?? ???? ??? ?? ????? ????? ?? ???? ?????? ?? ??",NONE
 Baat Yaha Intention ki Hain Unhone Bhangi Shabdh Ka Istemaal Ganda Dikhane K Liye Kiya hain,NONE
"?? ???? ?? ??? ???? ????? ????? ????? ??????????? ?? ??? ????? ????? ??...

?? ???????? ????? ?? ???? ?? ???? ?????? ????????? ???? ?????....

??? ???? ???? ????? ????? ???????? ????? ?? ??

#ArrestMunmunDutta
#ArrestMunmunDutta
#ArrestMunmunDutta

USER
USER",HOF
"Dilip, the hatred is uncalled for. Have you considered she may have genuinely not known the meaning of the word?

I for one did not not till Salman Khan courted controversy for using it. Ill-informed yes, intentionally hurtful, maybe not. No?",NONE
 not knowing a law is not an excuse,HOF
?? ???? ?? ?????? ????? ???? ???? ??,HOF
She apologized what else do you want?,NONE
???? ???? ?? ??? ???? ?????? ???? ???,HOF
?? ????? ??? ???? ?? ???? ?? ??? ?? ?? ?? ??? ???? ??? ??? ????? ??? ??? ??? ?? ??? ??? ????? ?? ??? ?? ??? ?? ???? ?? ??? ?? ?? ?? ?? ?? ???  ???? ???? ??????? ???? ?????????? ?? ??? ?? ???? ?? ??? ?? ?? ???????? ???? ??? ??? ??? ??? ?? #ISupportMunmunDutta URL,HOF
