tweet,Content
"Some Indian Muslims seem more worried about them not getting to eat beef than their coreligionists not getting to survive in Afghanistan.

Shocking insensitivity. This is what the beef politics of habitual criers has come down to.",NOT
80% of Indian muslims want Taliban style sharia to be imposed in India: Pew Research 2021,HOF
"""Devout Saffron"" is teaching about secular laws",NOT
"Wow, great statics I wonder if you have a source for that.",NOT
Have you taken a poll? ??????,NOT
"They want Sharia to be imposed in India but don't wanna live in a country ruled by Sharia 
Irony ??",NOT
and many hindu  also want the same  with hindu as majority so what is the point here  are you saying hindu want hindu country only and want to kick out all non hindu citizen of india,HOF
U want muslims to live under condition that they should not eat food which is forbidden for hindus. TALIBAN wants everyone to live as per their their belief system. U both seems to be from same branch of school.,NOT
"But there is a minor differences with the choice given. Hindus will not behead you by Taliban will. 
Saraya ever part of urlife. But non eating beef will effect u how? 
Arnt u comparing apple and orange . N muslim don't believe in though it's Madarsha of thoughts",NOT
And you think only Indian Muslims are interested in eating beef? So many eat beef and pork dude. Just stop trying to control the food habits which is normal all around the world .,NOT
70% of the world eats beef.,NOT
"Your surname reminds of a person who siphoned crores of public and party money into his personal account, providing a lavish life to his incompetent children despite their public dramas. Banao Chootiya aur. 
Har Har Modi, 
Ghar Ghar MaderchODI!! :)",NOT
Lvde Tu wahi hai na Jo koi Modi ko oppose krta hai usey apna baap bana leta hai latest baap is Taliban ??,NOT
"Azadi = Islamic rule.

This is from India. URL",NOT
"Not surprised at all
Once in considerable numbers

They want Azadi &amp; Islamic state",NOT
Mazhab nhi sikhata Aapas mai bair rakhana...???????????,NOT
Yeh bc nahi sudhrenge... inki soch kya h sab smjh ke bahar h pata nahi or konsi azadi chahiye in ludo ko dekh kr bhi nhi seekh rhe.. so called religion of peace...,HOF
Yeh sab sleeper cells honge.. In sab par jaach honi chahiye aur ek ek jaahil ko tihar bhej dena chahiye..,HOF
"See this 
URL",NOT
If Taliban is to capture India in near future you better know they will be 200 million INDIANS strong even before they start their journey.,NOT
"That is why muslims after voting for pakistan didn't leave India. Not for love for India, but to convert whole of India into Pakistan.",NOT
Why can't we take action against them???,NOT
"Every word that kk menon said in shauryas ending speech is what we need. 
RSS is the ideology to follow. 
Ye sab muslim ek jaise ni hote, kuch ache b hote hai, blah blah blah..
Ye sb bkws, ye sb sale end mein jake 72 pig hoors hi mangte hai chahe kisi ko mar k kyun na mile.",HOF
Jb in ko Quaid-e-azam azadi dilwa rha tha us waqt to ye jinnah ko oppose kr rahe the ab ye india me aman kharab kr rahe ha,HOF
How to download video from Twitter?,NOT
"I request all Hindus to stay united and defensive against Islamic Terror ,
Otherwise this could happen in India also ,

As an Ex - Muslim , I would feel safe in a Hindu Rashtra .",HOF
Our Government spending thousands of crores of taxpayers money just to appease them,NOT
Are the agencies keeping a watch at this? USER,NOT
Can we please get updated on the actions being taken ? Please make sure that all the details are made public.,HOF
"Is it the first time Islamic troops have been bought over by competing Islamic Army?
Check #UnbreakingIndia - every Muslim troop in the Maharaja Hari Singh's J&amp;K Army crossed over to Pakistan, many times killing their fellow Hindu troops in their sleep.
Learn from history.",HOF
"?? ?? example ???? ?? ????? ???

#Israel ?? #Afghanistan 

???? ??????? ?? ??? ???? ???? ??, clear ??? 

?? ?????? ????????, ??????, ?????,???? ???????, ?? ??????? ??? ????? ???? ???, ???? ???? ?? ??????- ????? ???? ???? ???? ?? ??? ??

USER
#Taliban",HOF
?????????? ?? ?? ???? ??? ?? ?????? ?? ??? ?? ?? ?? ?? ????? ?????? ?? ??? ??????? ?? ??? ?????? ?? ?? ?? ??? ????,NOT
"?????? ???????? ????????? ?? ??? ?????? ???? ???, ?? ???? ????? ??? ?? ??!!",HOF
"??? ??? ?????
??? ???? ???? ?????????, ???? ??????? ?? ????? ?? ?????? ?? ???? ???? ??, ?? ???? ????? ????? ?? ?????? ???? ?? ????????? ?? ?????? ??? ???? ?????? 
????? ???? ?????? ?????? ??? ??????, ???? ?????, ??????? ??????? ?? ????? ???? ????? ????",HOF
"Is the doubt of many Hindus ""Mera Abdul alag h"" cleared ?? 
ft. Arfa,Rana,Saba
#Taliban #Afghanistan",HOF
"This inability to face or accept their real character has made the successive govt to force secularism and acceptance of this jihadism on us. Azaan on mornings blaring in hindu localities, public cow slaughter especially in the vicinity of temples, various compromises",HOF
Are expressions of this jihadism.,HOF
"Almost every third tweet in my mentions is asking me to either apologise on behalf of the Taliban or condemn them. Those who have unleashed the worst kind of savagery in India, enabled by the government have the temerity to make this a test of our patriotism. Dafa ho",HOF
"So you think you're patriotic? Say vande mataram, please",NOT
Any say in this? URL,HOF
"Aadhe bhakto ko to ye English samajh bhi nahi aayegi par as per the instructions, barasna shuru kar denge",HOF
I hope Taliban wont do injustice and dont be brutal like RSS govt. of India,HOF
"Good joke !!
People from #Afghanistan who have been staying in India for 11 years are feeling safe here. ????

Only fake journalists create fake stories of fascism etc ..
Shameful!!

URL",NOT
"My take on the taliban :

1)Indian muslims are not accountable for what Taliban do
2) Afghan muslims too are not accountable for the Taliban

THE TALIBAN WERE NOT ELECTED BY THE AFGHANS UNLIKE PRAGYA THAKUR WHO WAS ELECTED HERE  -  BY A RECORD MARGIN

It's just as simple as that!",HOF
"Tere se ghanta expected hai. Just showing mirror to you,",HOF
"Bandi fir bhi Taliban ke baare mein kuch nahi boli, kyuki jo nafrat hai wo Hindu se hain hindustan se hai, journalusm ne bahot award dilaye hai ,bus Taliban ki nazaro mein aa jaye madam to afganistan mein ekloti woman ambassador bhi ban jayegi",HOF
"People ask if not Modi then who - when there are literally hundreds if not hundreds of thousands of alternatives. Anyone, even a rock would be better. At least the rock won't make things worse if it can't do anything better. 

Now I am asking - If not the Taliban then whom. 1/n",HOF
Haha! Dafa Ho ????,NOT
"#KabulHasFallen #Afghanistan 
Double standards of Indian Muslims URL",NOT
Brother thats not true pakistan military sent its 10000 people to help taliban to capture kabul isreal did not have anything to do with this particular issue,NOT
"I'm talking about Indian Muslim, Not Pakistani Muslims.",HOF
"Why muslims are leaving Afghanistan when Taliban has clearly stated that they will implement Islamic laws and Sharia laws?
Taliban says ""one who follows these rules should not fear and we will protect them"".",NOT
That's point ???,NOT
cuz they are not trustable,HOF
These people had tasted the good days when sharia was not in order now they those good days have gone as taliban rises that's why they are running from Afghanistan,NOT
Pakistan taliwan ek he Nali Ke kide Hai,NOT
"the main problem is not with the males, its with the rules on females.
females are not at all allowed to come out, not even see through the balcony.",NOT
Cause sharia law is medieval bullshit. :D,NOT
They are leaving cuz they hv to ruin other countries as well,NOT
Jaa tu ek baar aisa law me reh le dikha specially womens to jaanwaron ki tarah treat hongi zinda pagal ho jaayega tu bhi aisa law me reh kar,NOT
"IF U HAVE ONE BRAIN CELL U WOULD UNDERSTAND.

TALIBAN'S SHARIA LAW IS NOT THE REAL SHARIA LAW.

GULF FOLLOWS SHARIA LAW AND EVEYONE INCLUDING HINDUS WORK THERE.

U ALWAYS THINK SHARIA LAW IS THE PROBLEM BECAUSE UR EDUCATION IS FROM MODI AND WHATSAPP",NOT
How can you trus on terrorist ??,NOT
Peaceful log hain na,NOT
??????,NOT
Ab  Yhi  Hathiyar Afganistan Ko Bacha Skta h bhai ! ?? URL,NOT
??????,NOT
"Who the hell told you that Indian Muslims was not against Taliban ?????
Muslims will never support Taliban...",HOF
"We have seen many indian muslims saying one day sharia will implement, so we can see their thinking but it begs a question Taliban is implementing sharia law, so why r citizens of an islamic country leaving the country.",HOF
Loll look at all the comments on social media. Whqt you live in a cave?,HOF
Bhaiya Jamia wale student ka speech nhi suna jise us time indian muslims hi support kr re the,HOF
"There have been many Muslims posting against Taliban. Either u people are blind, or u are just trying to spread hate within India.",NOT
(Indian Muslims included),NOT
You are wrong. I support Afghanistan Muslims.,HOF
Half of Afghanistan Muslims are Taliban ??????,HOF
They will never oppose Taliban..because there quran says violence is the only way... If any doubt kindly read Quran.,HOF
Right ???,HOF
Whether its israel or taliban terrorism has no religion its proof,HOF
Israel attacked for self defense,HOF
"Muslims Attacking Muslims no problem, they have problems when Non Muslims kills Muslims... ??????",HOF
"Yes, they are happy in Taliban rule. URL",HOF
"Only one word for u ""JAAHIL"" Thank you. now keep posting,barking.",HOF
Jawab nahi hai isliye gali diyi??,HOF
Kuch bolna ko hai toh point mein bola gali dene ka matlab kuch bolne ko nhi hai kya,HOF
Free palastine wali line gend mai ghused liye ho kya,HOF
"Tm sb ki hypocracy ki seema ke liye to Allah bhi sabd naa bna paaye, hme to bs ""suar"" bolne aata h",NOT
"All madarssachhaps were barking at Israel for retaliating HAMAS atankwadi bt now Taliban attacked innocent afghani, madarssachhaps are celebrating",NOT
"for your type human we called zombies . This is disease find in Afghanistan taliban , pakistan and some part of india URL",HOF
"tere pass answer nhi hai , hai na ?",NOT
"Chal harami bloody 7th century savages, should treat you like mentally undeveloped heathens that you lot are.",NOT
Now we can see it clearly from which religion they belong to.. What they have taught them.   Our religion never teaches us such pathetic words.. They belong to hell and their hearts are locked.. So better don't give them any response..,HOF
"Today the United States has been attacked, tomorrow Israeli terrorists will be attacked",HOF
Join taliban.,HOF
?? Islam will rule the world,HOF
"Fool wish going on for years and Iraq Syria, Afghanistan Pakistan all poor weak countries and its population suffering.",HOF
Taliban freed Afghanistan from foriegn forces. For 20 years u were happy am I right.,NOT
????????????????,NOT
Mast ganja fuka. Ab taliban s*x slaves ke liye tumhari sisters ki demand karega wo puri kar dena.,NOT
"Abey jahelo.. Jis chz ka ilm na ho us pr baat nhi krne chahiye. Shariya law ki bare me tum log jante kya ho??? Kuch nhi shiwaye Muslims ko terrorist kehne ke.. Tum log k double standards ye hai ki her tarf behayayi, nagapan, behudgi, besharmi rahe..",NOT
R ye chahte ho ke duniya ki aurtain tumhare kwsh r matlab k liye paida hua.. R tumhare aurtoun ki her admi khwsh kare.. Delhi m 5 years dalit ladki ka rape hua jisme ek pujare tha.. Kutto tum jb kaha they?? Tumhare awaz kaha the??,NOT
Isme humare shariya law kehte hai aise logo ko phansi pr latkana chahiye ya phir janta uspr pathere barsa kr wahi mardena chahiye taki dusre log ise sabak hasil kare r tum jaise kuttey insan ki chakar me baithe rehte hai kanon k bharose jisme kayi saal nikal jate,NOT
r apradi khula amm phirta hai phir wohi kerta hai.. Ye kaisa kanon hai jahelo??? Jisme sare zindagi kat jate hai r insaf na mile r wahi chz hr bar repeat hote ho samaajh me???.  Shariyat ek khazana jo tum jaise jahelo k liye samjh k bahr hai r tum usko kabhi nhi apna sakte..,NOT
"Shariyat ka her faisa tumahre aqal se bahr hai q ki tum log wo chz kbhi nhi apna sakte jisme insaaf, pakezgi, adabgi ho.. Phle Islam pr research karo ache se phir baat rakho.. R tumhare aqale sahi hoti to Modi anpad nhi koyi r PM hota r desh ka economy nhi gerte..",HOF
"Hey,who said ""indian muslims"" are supporting Taliban victory. to your knowledge those who doesnt know who and what is Taliban they may support. What's happening to palestainian and afganistan people are same. It doesnt matter if it's caused my  
So called Jews,muslim,Christian...",NOT
"Whatever.. 
Not only muslim every human will have to support the oppressed and be just to them regardless their race.whether which ""religion"" the oppressed are the simply deserve justice and every human support.
And we indian muslim and humen are supporting afgan innocents.",HOF
"At a meeting of the Bharatiya Janata Party’s Yuva Morcha in Lucknow earlier today, BJP MP Tejasvi Surya said that the Akhilesh Yadav’s government practiced “Bhaijaan ka saath, miyan ka vishwas, aur apna vikas.” #UPElection2022  reports URL",HOF
Dangerous person now and in the future !,HOF
He's a joker in a diaper!,HOF
"Weldone Nihang Sikhs for following Taliban &amp; mutilating the body of man before hanging him at Singhu Border.

Now next step you need learn how to tie 300 kg RDX on Mahindra Tractor &amp; how to make Soocide Jacket.

Sikh-Taliban Ekta Zindabad!",HOF
They can contact Pak Foj for better training and need more Miya Mithoos to defeat Baniyas of Eindia !,HOF
"Friday prayers in Dubai during COVID in a busy street that is closed for 15 minutes for prayers. Shops in this area also close, only to open after Friday noon prayers. Friday is a holy day for Muslims &amp; they take their noon prayer very seriously. #FridayPrayer #Islamophobia URL",NOT
UAE should cancel contract to build Mandir in Dubai.,HOF
"Bro, thats not the culture of muslims",NOT
Cancel it we Hindus have not told to Dubai they are doing by there wishes ...your community has power then stop it,NOT
Agree with uh??,HOF
Yes I agree.. please cancel the contract.if u favour in mandir then Allah will punish u .,HOF
ok do it we will stop taking crude from gulf thn we will see frm were ur malik will get money,NOT
Yes you are right ... India should also demolish all disgusting masjids in India,NOT
Woh log chutiye nahi hai,NOT
Then we will cancel all masajid from india,NOT
"Roo mt 
Jai shree ram ka jaap ker dukh dur chla jayega",NOT
"You are an Indian and tweeting with so much hate like this, hope and pray persons like you don't represent majority of Indian Mu$lims, get well soon",NOT
But i heard that gulf nation is going to cencel Friday off ....instead they will regularize on sunday right,HOF
"No
We are Muslims not Christians",HOF
Kindly share some images of China too....,HOF
Wo Indian army kiii?,NOT
"China make good relationships with Pakistan and Muslim countries.  Can u make it without hypocrisy?  If u want to follow them.
2nd u r responsible of endia or China?",HOF
China is not claiming herself a democratic and secular country.,HOF
I can share you image of China ???? where people enjoying beef without getting lynch,HOF
"Madam, is there any job vacancy in uae",HOF
Good topic,HOF
"Update on Gurgaon Namaz 

Juma Namaz did not take place at 3 sites- Sector-12, Sector 47 and Sector-18

Rest, Namaaz took place at all sites. 

Gorvardhan Pooja was held by Hindutva supporters at Sector-12 Namaz site  earlier today. BJP's Kapil Mishra attended it.",HOF
"This happens in most cities in #India - Some pix from #Allahabad #Kolkata #Patna #Mumbai.
You need to understand, India is a huge country. Yes, there are problems in some places like the recent cases in Manipur and Gurgaon. It's a concerning trend but not the whole or only truth. URL",NOT
"Yes it is true that Muslim offer Juma prayer on road in different cities of India...
But you must say it's not that India after 2014...
It is full of hate,mob Lynch, Riots, arson, looting, killing ....And Govt had no word of sympathy or action or reaction.... .No justice at all",NOT
Beautiful PICs ???,HOF
"This needs to stop, wherever they populate they become a nuisance for others and force their way of living on others. Which is unacceptable.",NOT
????????????????,HOF
These pictures are from Bangladesh.. Islamophobic Hindus never Allowed to do prayer in India like this...,HOF
"Being an Hindu leaving in GCC frm last 15 years I have have feeling that what a respect we have here fr temples, Gurdwaras etc. But it's very sad what this Modi governmet is up to. Very sad and sorry.",HOF
Aapki bat sahi hai sir jee lekin India me jab tk RSS aur andhbhakt hai India ko aaise he barbad kar denge.acche din bol kar modi ko laya .aur modi me india ka barbad kar Dala....,NOT
"It's wrong to hijack public places for religious events. Once in a year on festivals it might be ok. But every week, no way. Atleast in a secular countries like India this must not be allowed for any religion. There is already too much of religiosity and religion is around.",NOT
"It's because COVID and people are praying in some distance, otherwise there's enough space in the mosque to accommodate.",NOT
"How many shani mandirs block roads on Saturday? Entire navratri &amp; ganesh utsav how much space occupied? Don't be hypocrite, My peoples visited Gurugram, Muslims were praying only in isolated grounds,Manuwadi Brahmins doing with our community  centuries hatred for others, shameful",NOT
"Muslims masjids are encroached in Gurgoan administration is not allowing opening of masjids, so they were alloted 37  open places for Friday prayers but Hindutva goons are terrorising Muslims of #Gurgoan every Friday. Hear first hand report URL #OpenMosques",HOF
"Hindu hijack public places, they build countless illegal mandir Roadside of public land, they put stone un the night any places and telling people that god appeared, making peoples fool.",NOT
"???? ????.!
????? ??? ?? ?? ?????? ????? ??..

???????? ??? ???? ?? ???? ???? ??? ???? ?? ???? ??..",HOF
Ye COVID k time howa hai shyd. Iska indirect context Indian Guragun City Nemaz Issue hai,HOF
Which Dubai is this?? I was in Dubai for quite some time and never saw any namaz on any road..maybe this was during covid when mosques were closed...,HOF
"Usually people pray inside, but during COVID there was social distancing and on Fridays for a short while people would pray outside",HOF
But in same country kaafirs can't practice their religion in public #hypocrisy,NOT
"Bhai everyone is happy in our country, we love our India, chain se khao, kaam karo, Padho,development Lao, jab dekho tab religion k naampe hatespeech dene ajate ho,itna research apni work field me kia hota toh desh kahase kaha pohochta
cartoons",HOF
"right My workfield is hindutva and i recently discovered that Kutubminar is not build by kutubduin ebak 
Tajmahal is tejomahalay 
lal kila is lalkot build by hindu king in 11 century 
mughals were useless",HOF
"Saudi and Dubai also rich from oil, so they can afford close shops and industry. But India can't, how can possible every Friday close.",HOF
For 10 minutes it will break the bank?,NOT
Are they praying or begging???,HOF
Do you worship a cow?,HOF
